time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,1,1,0.0,0.0,0,53.150758,6.738492,-0.8,,
1,1,1,0.0,0.0,0,53.150762,6.738418,-0.8,,
2,1,1,5.41,5.15,0,53.150764,6.738341,-0.8,59,
3,1,1,10.98,5.28,0,53.150765,6.738261,-0.8,60,
4,1,1,16.58,5.37,0,53.150766,6.738178,-0.9,63,
5,1,1,22.3,5.55,0,53.150765,6.738093,-0.9,60,
6,1,1,28.11,5.67,0,53.150763,6.738006,-0.9,63,
7,1,1,34.0,5.73,1,53.150761,6.737917,-0.9,64,
8,1,1,40.01,5.94,1,53.150758,6.737826,-0.9,75,
9,1,1,46.04,5.97,1,53.150754,6.737735,-0.9,77,
10,1,1,52.1,6.0,1,53.15075,6.737644,-0.9,79,
11,1,1,58.2,6.03,1,53.150745,6.737553,-0.9,77,
12,1,1,64.34,6.08,1,53.15074,6.737462,-0.9,79,
13,1,1,70.53,6.14,2,53.150734,6.737371,-0.9,80,
14,1,1,76.74,6.14,2,53.150728,6.737281,-0.9,83,
15,1,1,82.99,6.16,2,53.150722,6.737189,-0.9,85,
16,1,1,89.27,6.22,2,53.150714,6.737095,-0.9,85,
17,1,1,95.57,6.23,2,53.150705,6.736997,-0.8,88,
18,1,1,101.89,6.25,3,53.150695,6.736895,-0.8,91,
19,1,1,108.31,6.47,3,53.150684,6.736788,-0.8,90,
20,1,1,114.92,6.86,3,53.150671,6.736678,-0.8,91,
21,1,1,121.77,7.24,3,53.150658,6.736566,-0.7,91,
22,1,1,128.81,7.4,3,53.150644,6.736453,-0.6,92,
23,1,1,135.85,7.53,4,53.150632,6.736343,-0.5,94,
24,1,1,142.89,7.51,4,53.150619,6.736235,-0.4,93,
25,1,1,149.93,7.48,4,53.150608,6.73613,-0.3,96,
26,1,1,156.97,7.43,4,53.150597,6.736027,-0.2,101,
27,1,1,164.01,7.36,5,53.150586,6.735925,-0.1,105,
28,1,1,171.05,7.3,5,53.150575,6.735824,0.0,105,
29,1,1,178.09,7.25,5,53.150564,6.735722,0.0,109,
30,1,1,185.13,7.21,5,53.150552,6.73562,0.0,112,
31,1,1,192.17,7.19,5,53.150539,6.735517,0.0,109,
32,1,1,199.21,7.17,6,53.150525,6.735414,0.0,111,
33,1,1,206.25,7.11,6,53.150508,6.735311,0.0,114,
34,1,1,213.29,7.06,6,53.15049,6.73521,0.0,114,
35,1,1,220.33,7.04,6,53.150468,6.73511,0.0,114,
36,1,1,227.37,7.03,7,53.150443,6.735012,0.0,116,
37,1,1,234.42,7.04,7,53.150414,6.734916,0.1,117,
38,1,1,241.46,7.05,7,53.150382,6.734823,0.1,117,
39,1,1,248.51,7.07,7,53.150346,6.734734,0.2,118,
40,1,1,255.55,7.09,7,53.150307,6.734649,0.3,118,
41,1,1,262.6,7.1,8,53.150263,6.734568,0.4,118,
42,1,1,269.65,7.12,8,53.150215,6.734493,0.5,118,
43,1,1,276.7,7.14,8,53.150165,6.734423,0.6,119,
44,1,1,283.75,7.16,8,53.150111,6.734362,0.7,118,
45,1,1,290.8,7.17,9,53.150055,6.734308,0.8,118,
46,1,1,297.86,7.17,9,53.149997,6.734263,0.9,117,
47,1,1,304.92,7.16,9,53.14994,6.734227,0.9,117,
48,1,1,311.97,7.12,9,53.149884,6.734197,0.8,116,
49,1,1,319.03,7.07,9,53.149833,6.734173,0.8,116,
50,1,1,326.09,6.99,10,53.149788,6.734155,0.7,117,
51,1,1,338.23,6.86,10,53.149752,6.73414,0.7,117,
52,1,1,341.3,6.61,10,53.149725,6.734128,0.7,117,
53,1,1,344.24,3.69,10,53.1497,6.73412,0.6,117,
54,1,1,347.95,3.59,10,53.149671,6.734114,0.6,117,
55,1,1,352.65,3.91,10,53.149631,6.734112,0.6,117,
56,1,1,358.36,4.52,11,53.14958,6.734112,0.5,115,
57,1,1,358.36,5.15,11,53.14952,6.734115,0.4,112,
58,1,1,358.36,5.9,11,53.149454,6.734118,0.3,113,
59,1,1,366.06,6.47,11,53.149386,6.734123,0.3,112,
60,1,1,373.73,6.78,11,53.149318,6.734126,0.2,113,
61,1,1,381.15,6.75,11,53.149255,6.734129,0.1,113,
62,1,1,381.15,6.71,11,53.149199,6.734129,0.0,114,
63,1,1,397.43,6.08,12,53.149155,6.734127,0.0,113,
64,1,1,407.23,4.8,12,53.149122,6.734119,-0.1,112,
65,1,1,410.2,3.59,12,53.149102,6.734104,-0.1,116,
66,1,1,412.03,2.86,12,53.149094,6.73408,-0.1,118,
67,1,1,414.41,2.58,12,53.149094,6.734044,-0.1,119,
68,1,1,417.62,2.7,12,53.149099,6.733997,-0.1,117,
69,1,1,421.75,3.12,12,53.149105,6.73394,-0.1,117,
70,1,1,421.75,3.56,12,53.14911,6.733879,-0.1,118,
71,1,1,421.75,3.8,12,53.149112,6.733815,-0.1,117,
72,1,1,426.32,3.97,13,53.149098,6.733744,-0.1,117,
73,1,1,433.18,4.79,13,53.149063,6.733665,-0.1,117,
74,1,1,440.12,5.54,13,53.149016,6.733596,-0.2,115,
75,1,1,447.21,5.83,13,53.148965,6.733533,-0.2,116,
76,1,1,447.21,6.03,13,53.148916,6.733466,-0.3,116,
77,1,1,447.21,6.18,13,53.148872,6.733388,-0.4,116,
78,1,1,454.28,6.78,13,53.148835,6.733301,-0.4,115,
79,1,1,461.39,6.85,14,53.148804,6.733208,-0.5,116,
80,1,1,461.6,6.95,14,53.148775,6.733114,-0.5,116,
81,1,1,468.87,7.01,14,53.148741,6.733023,-0.5,117,
82,1,1,476.29,7.06,14,53.148698,6.73294,-0.5,120,
83,1,1,483.62,7.1,14,53.148647,6.73287,-0.5,122,
84,1,1,491.39,7.08,15,53.148591,6.732821,-0.5,123,
85,1,1,498.3,6.95,15,53.148532,6.732797,-0.4,124,
86,1,1,505.17,6.89,15,53.148471,6.732787,-0.4,121,
87,1,1,512.28,6.91,15,53.148409,6.732777,-0.4,123,
88,1,1,519.55,6.98,16,53.148346,6.732757,-0.3,123,
89,1,1,519.77,6.99,16,53.148284,6.732729,-0.4,124,
90,1,1,526.89,6.96,16,53.148224,6.732702,-0.4,126,
